,open,high,low,close,SMA_5,SMA_10,EMA_5,EMA_10,RSI,MACD,MACD_signal,BB_Middle,BB_Upper,BB_Lower,OBV,H-L,H-PC,L-PC,TR,ATR,ROC,Momentum,Std_Dev,future
3384,1330.8,1338.9,1327.55,1335.15,1316.5208333333333,1288.209027777778,1313.4269678832052,1290.1794875810606,76.09942638623335,23.247480302144595,23.939682271839914,1316.5208333333333,1332.9915064048553,1300.0501602618112,-169249643.0,11.350000000000136,8.150000000000091,3.2000000000000455,11.350000000000136,7.212500000000022,0.02561837455830407,33.350000000000136,8.23533653576102,0.0
3385,1335.2,1337.9,1330.55,1330.75,1317.3236111111112,1290.036111111111,1314.3633479976265,1291.2910084692505,52.5612472160358,23.072339528376006,23.766213723147132,1317.3236111111112,1333.6690339935813,1300.978188228641,-175708755.0,7.350000000000136,2.75,4.600000000000136,7.350000000000136,7.254166666666695,0.02219917809271421,28.90000000000009,8.172711441235037,0.0
3386,1331.0,1336.0,1330.7,1332.95,1318.1833333333334,1291.9013888888887,1315.3680318896465,1292.4323507029696,76.08695652173904,22.935681186676902,23.600107215853086,1318.1833333333334,1334.4683834451178,1301.898283221549,-169198297.0,5.2999999999999545,5.25,0.049999999999954525,5.2999999999999545,7.291666666666698,0.023771121351766622,30.950000000000045,8.142525055892124,0.0
3387,1332.05,1335.0,1332.0,1334.35,1319.0638888888889,1293.7604166666667,1316.3940842199358,1293.5807794508335,74.34402332361476,22.813304769102388,23.442746726502946,1319.0638888888889,1335.3214165714646,1302.806361206313,-162659802.0,3.0,2.0499999999999545,0.9500000000000455,3.0,7.279166666666697,0.024335009403907204,31.699999999999818,8.12876384128784,0.0
3388,1334.0,1334.4,1326.0,1328.75,1319.6916666666666,1295.5541666666666,1317.061971559399,1294.5443197398517,49.36708860759494,22.517651819547154,23.257727745111787,1319.6916666666666,1335.639984983762,1303.7433483495713,-169259761.0,8.400000000000091,0.0500000000001819,8.349999999999909,8.400000000000091,7.333333333333365,0.017302760019905827,22.59999999999991,7.974159158547618,0.0
3389,1328.0,1328.75,1322.0,1324.35,1319.951388888889,1297.295138888889,1317.4559190426744,1295.3609137195817,35.714285714285566,22.095005323092664,23.025183260707966,1319.951388888889,1335.889886507854,1304.0128912699238,-175950917.0,6.75,0.0,6.75,6.75,7.231944444444474,0.007110266159695788,9.349999999999909,7.969248809482564,0.0
3390,1324.05,1330.0,1322.5,1322.55,1320.0013888888889,1299.0055555555555,1317.7312747700973,1296.105820193018,18.181818181817775,21.62545457707938,22.74523752398225,1320.0013888888889,1335.961472778967,1304.0413049988108,-182721040.0,7.5,5.650000000000091,1.849999999999909,7.5,7.183333333333362,0.0013628620102215105,1.7999999999999545,7.980041945039056,0.0
3391,1322.95,1323.75,1310.45,1321.15,1320.1722222222222,1300.632638888889,1317.9160707284705,1296.7919621055382,21.42857142857123,21.124108622932226,22.421011743772247,1320.1722222222222,1336.0434620593874,1304.300982385057,-189716259.0,13.299999999999955,1.2000000000000455,12.099999999999909,13.299999999999955,7.22083333333336,0.004676806083650176,6.150000000000091,7.935619918582533,0.0
3392,1321.0,1330.65,1316.45,1327.35,1320.6791666666666,1302.2902777777776,1318.4260128512558,1297.6291686231946,36.53846153846089,20.796844228061218,22.096178240630046,1320.6791666666666,1336.2585188446712,1305.0998144886619,-182623975.0,14.200000000000045,9.5,4.7000000000000455,14.200000000000045,7.426388888888918,0.013940875410587417,18.25,7.789676089002351,0.0
3393,1326.15,1338.0,1325.75,1329.7,1321.3194444444443,1304.0034722222222,1319.0354175619987,1298.5078215376277,39.31034482758641,20.52759602437095,21.78246179737823,1321.3194444444443,1336.41368701341,1306.2252018754787,-175389969.0,12.25,10.650000000000091,1.599999999999909,12.25,7.618055555555587,0.01764053112922359,23.049999999999955,7.5471212844828335,0.0
